StationID,ECO_ID,ECO_NAME
USH00301012,"50414",Southern Great Lakes forests
USH00303033,"50414",Southern Great Lakes forests
USH00303184,"50414",Southern Great Lakes forests
USH00304844,"50414",Southern Great Lakes forests
USH00306314,"50414",Southern Great Lakes forests
USH00307167,"50414",Southern Great Lakes forests
USH00331072,"50414",Southern Great Lakes forests
USH00331541,"50414",Southern Great Lakes forests
USH00331592,"50414",Southern Great Lakes forests
USH00332098,"50414",Southern Great Lakes forests
USH00332119,"50414",Southern Great Lakes forests
USH00332791,"50414",Southern Great Lakes forests
USH00333375,"50414",Southern Great Lakes forests
USH00333758,"50414",Southern Great Lakes forests
USH00333780,"50414",Southern Great Lakes forests
USH00334189,"50414",Southern Great Lakes forests
USH00335297,"50414",Southern Great Lakes forests
USH00335315,"50414",Southern Great Lakes forests
USH00336118,"50414",Southern Great Lakes forests
USH00336196,"50414",Southern Great Lakes forests
USH00338313,"50414",Southern Great Lakes forests
USH00338534,"50414",Southern Great Lakes forests
USH00338552,"50414",Southern Great Lakes forests
USH00338769,"50414",Southern Great Lakes forests
USH00338822,"50414",Southern Great Lakes forests
USH00339312,"50414",Southern Great Lakes forests
USH00362682,"50414",Southern Great Lakes forests
USH00363526,"50414",Southern Great Lakes forests
USH00366233,"50414",Southern Great Lakes forests
USH00170100,"50410",New England/Acadian forests
USH00043761,"50516",Klamath-Siskiyou forests
USH00045983,"50516",Klamath-Siskiyou forests
USH00046508,"50516",Klamath-Siskiyou forests
USH00049490,"50516",Klamath-Siskiyou forests
USH00049866,"50516",Klamath-Siskiyou forests
USH00350304,"50516",Klamath-Siskiyou forests
USH00352406,"50516",Klamath-Siskiyou forests
USH00353445,"50516",Klamath-Siskiyou forests
USH00357169,"50516",Klamath-Siskiyou forests
USH00357331,"50516",Klamath-Siskiyou forests
USH00044232,"51305",Great Basin shrub steppe
USH00103732,"51305",Great Basin shrub steppe
USH00105559,"51305",Great Basin shrub steppe
USH00260507,"51305",Great Basin shrub steppe
USH00260691,"51305",Great Basin shrub steppe
USH00262573,"51305",Great Basin shrub steppe
USH00262780,"51305",Great Basin shrub steppe
USH00263245,"51305",Great Basin shrub steppe
USH00264698,"51305",Great Basin shrub steppe
USH00264950,"51305",Great Basin shrub steppe
USH00265168,"51305",Great Basin shrub steppe
USH00266779,"51305",Great Basin shrub steppe
USH00268988,"51305",Great Basin shrub steppe
USH00269171,"51305",Great Basin shrub steppe
USH00421731,"51305",Great Basin shrub steppe
USH00422101,"51305",Great Basin shrub steppe
USH00422726,"51305",Great Basin shrub steppe
USH00422828,"51305",Great Basin shrub steppe
USH00425186,"51305",Great Basin shrub steppe
USH00425752,"51305",Great Basin shrub steppe
USH00426404,"51305",Great Basin shrub steppe
USH00426686,"51305",Great Basin shrub steppe
USH00427260,"51305",Great Basin shrub steppe
USH00427714,"51305",Great Basin shrub steppe
USH00428771,"51305",Great Basin shrub steppe
USH00428973,"51305",Great Basin shrub steppe
USH00429382,"51305",Great Basin shrub steppe
USH00050848,"50815",Western short grasslands
USH00051294,"50815",Western short grasslands
USH00051564,"50815",Western short grasslands
USH00052446,"50815",Western short grasslands
USH00053005,"50815",Western short grasslands
USH00053038,"50815",Western short grasslands
USH00054076,"50815",Western short grasslands
USH00054770,"50815",Western short grasslands
USH00054834,"50815",Western short grasslands
USH00057167,"50815",Western short grasslands
USH00059243,"50815",Western short grasslands
USH00140365,"50815",Western short grasslands
USH00141704,"50815",Western short grasslands
USH00144464,"50815",Western short grasslands
USH00144695,"50815",Western short grasslands
USH00147093,"50815",Western short grasslands
USH00147271,"50815",Western short grasslands
USH00250130,"50815",Western short grasslands
USH00251145,"50815",Western short grasslands
USH00253715,"50815",Western short grasslands
USH00254110,"50815",Western short grasslands
USH00254440,"50815",Western short grasslands
USH00254900,"50815",Western short grasslands
USH00290858,"50815",Western short grasslands
USH00291887,"50815",Western short grasslands
USH00293294,"50815",Western short grasslands
USH00297867,"50815",Western short grasslands
USH00298501,"50815",Western short grasslands
USH00299156,"50815",Western short grasslands
USH00340593,"50815",Western short grasslands
USH00340908,"50815",Western short grasslands
USH00343628,"50815",Western short grasslands
USH00343871,"50815",Western short grasslands
USH00344298,"50815",Western short grasslands
USH00344766,"50815",Western short grasslands
USH00411000,"50815",Western short grasslands
USH00412121,"50815",Western short grasslands
USH00415875,"50815",Western short grasslands
USH00416135,"50815",Western short grasslands
USH00417079,"50815",Western short grasslands
USH00418201,"50815",Western short grasslands
USH00418692,"50815",Western short grasslands
USH00481675,"50815",Western short grasslands
USH00481730,"50815",Western short grasslands
